epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
26,0.88421,73.287,1.91382,53.01,80.81,1.02961,0.04797394529050577,29.221,4.207,14.646,14.838,672.7,13.2|76.0,2|1,1,49920,766.07,384.18,0
27,0.86263,73.916,2.21158,49.87,78.29,1.34895,0.04776941675971941,29.797,3.813,14.486,14.719,671.9,13.2|76.0,2|1,1,49920,795.87,398.67,1
28,0.83536,74.617,1.59676,59.11,85.92,0.7614,0.04755553474536294,29.756,3.519,14.493,14.704,671.9,13.2|76.0,2|1,1,49920,825.63,413.16,0
29,0.82136,74.92,1.53359,60.67,85.99,0.71223,0.04733238710835648,29.259,3.231,14.634,14.834,671.9,13.2|76.0,2|1,1,49920,854.88,427.79,0
30,0.7931,75.805,1.82553,55.06,83.0,1.03243,0.04710006551585946,28.817,0.815,14.526,14.742,672.7,13.2|76.0,2|1,1,49920,883.7,442.32,0
31,0.77257,76.276,1.8737,54.83,81.52,1.10113,0.04685866540361455,29.041,4.33,14.529,14.747,671.9,13.2|76.0,2|1,1,49920,912.74,456.85,0
32,0.75647,76.881,1.81234,55.75,83.02,1.05587,0.046608285936743446,29.957,3.303,14.624,14.823,634.9,13.2|76.0,2|1,1,49920,942.7,471.47,0
33,0.7541,76.895,1.67551,58.1,84.92,0.92141,0.04634902996901064,29.896,3.418,14.611,14.818,671.9,13.2|76.0,2|1,1,49920,972.6,486.08,0
34,0.71517,77.907,1.69951,58.07,84.4,0.98434,0.04608100400057206,29.144,1.771,14.622,14.823,634.9,13.2|76.0,2|1,1,49920,1001.74,500.7,0
35,0.70907,78.059,1.90375,54.4,81.56,1.19467,0.0458043181342256,28.969,1.958,14.648,14.837,672.7,13.2|76.0,2|1,1,49920,1030.71,515.35,0
36,0.6651,79.201,1.61944,58.81,85.63,0.95433,0.04551908603018191,29.709,4.943,14.602,14.801,672.7,13.2|76.0,2|1,1,49920,1060.42,529.95,0
37,0.69267,78.734,1.6503,59.22,84.85,0.95763,0.04522542485937369,29.783,3.957,14.511,14.749,671.9,13.2|76.0,2|1,1,49920,1090.2,544.47,0
38,0.6397,80.186,1.733,57.9,84.43,1.0933,0.044923455255322875,29.798,3.843,14.588,14.8,671.9,13.2|76.0,2|1,1,49920,1120.0,559.05,0
39,0.62826,80.491,1.9179,55.17,82.03,1.28964,0.04461330126458544,29.251,2.026,14.688,14.867,634.9,13.2|76.0,2|1,1,49920,1149.25,573.74,0
40,0.61485,80.885,1.87513,55.69,83.24,1.26028,0.04429509029579405,28.637,2.946,14.438,14.683,672.7,13.2|76.0,2|1,1,49920,1177.89,588.18,0
41,0.62502,80.695,1.8361,57.02,83.15,1.21108,0.04396895306731977,29.131,4.261,14.476,14.702,671.9,13.2|76.0,2|1,1,49920,1207.02,602.65,0
42,0.59458,81.37,2.04007,54.15,80.63,1.44549,0.043635023553573994,30.052,3.443,14.63,14.821,671.9,13.2|76.0,2|1,1,49920,1237.07,617.28,0
43,0.58176,81.949,1.81195,56.65,83.81,1.2302,0.043293438929972894,29.586,3.095,14.521,14.741,671.8,13.2|76.0,2|1,1,49920,1266.66,631.81,0
44,0.55847,82.402,1.74242,58.95,85.07,1.18395,0.04294433951658697,28.739,0.966,14.503,14.729,671.9,13.2|76.0,2|1,1,49920,1295.39,646.31,0
45,0.53438,83.141,1.81495,57.47,83.81,1.28057,0.0425878687204987,28.892,1.944,14.599,14.8,671.9,13.2|76.0,2|1,1,49920,1324.29,660.91,0
46,0.53731,83.091,1.62614,60.12,85.46,1.08883,0.04222417297689217,29.294,3.326,14.622,14.82,671.9,13.2|76.0,2|1,1,49920,1353.58,675.53,0
47,0.52124,83.598,1.68954,59.65,85.18,1.1683,0.041853401688898687,29.522,3.711,14.344,14.58,671.9,13.2|76.0,2|1,1,49920,1383.1,689.87,0
48,0.51482,83.858,1.87748,57.1,83.78,1.36265,0.0414757071662233,29.157,3.46,14.381,14.62,671.9,13.2|76.0,2|1,1,49920,1412.26,704.25,0
49,0.52646,83.522,1.76165,59.19,85.08,1.23519,0.04109124456257721,28.927,0.475,14.61,14.805,634.9,13.2|76.0,2|1,1,49920,1441.19,718.87,0
50,0.46603,85.188,1.64479,60.75,86.08,1.17876,0.04070017181194199,28.863,3.176,14.575,14.79,671.9,13.2|76.0,2|1,1,49920,1470.05,733.44,0
51,0.47161,85.21,1.81103,58.11,83.68,1.33943,0.040302649563691575,29.173,3.807,14.422,14.655,671.9,13.2|76.0,2|1,1,49920,1499.22,747.86,0
52,0.4745,84.754,1.90565,57.3,83.16,1.43115,0.03989884111659893,29.803,3.773,14.51,14.708,671.9,13.2|76.0,2|1,1,49920,1529.03,762.37,0
53,0.44756,85.733,1.84717,58.83,84.04,1.39961,0.03948891235175425,28.922,3.303,14.388,14.634,671.9,13.2|76.0,2|1,1,49920,1557.95,776.76,0
54,0.43623,86.17,1.77344,58.95,84.53,1.33721,0.03907303166442244,28.513,1.812,14.335,14.581,671.9,13.2|76.0,2|1,1,49920,1586.46,791.1,0
55,0.41861,86.593,1.64243,62.27,86.13,1.22382,0.03865136989486776,28.621,3.034,14.425,14.662,671.9,13.2|76.0,2|1,1,49920,1615.08,805.52,0
56,0.41812,86.595,1.79164,58.79,84.07,1.37352,0.03822410025817406,29.022,2.73,14.553,14.762,671.9,13.2|76.0,2|1,1,49920,1644.1,820.07,0
